nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"Pregunta P7.12.3 Las siguientes preguntas están relacionadas con el entorno financiero a lo largo de su vida. Responda sí o no. Cuando usted era niña(o), en su escuela ¿había alguna actividad que le enseñara cómo manejar el dinero?",1,C,P7_12_3,p7_12_3,1...3
"Pregunta P7.12.4 Las siguientes preguntas están relacionadas con el entorno financiero a lo largo de su vida. Responda sí o no. En la adolescencia, sus padres o tutores ¿le daban dinero (mesada) para sus gastos y usted los administraba?",1,C,P7_12_4,p7_12_4,1...3
"Pregunta P7.12.5 Las siguientes preguntas están relacionadas con el entorno financiero a lo largo de su vida. Responda sí o no. En la adolescencia, sus padres o tutores ¿le hablaron sobre gastos necesarios e innecesarios?",1,C,P7_12_5,p7_12_5,1...3
"Pregunta P7.12.6 Las siguientes preguntas están relacionadas con el entorno financiero a lo largo de su vida. Responda sí o no. En algún momento de su vida, ¿ha recibido algún curso para el registro de sus ingresos y gastos?",1,C,P7_12_6,p7_12_6,1...3
Pregunta P8.1.1 Vea la Tarjeta 7. ¿Qué tanta preocupación siente actualmente por pedir un préstamo?,1,C,P8_1_1,p8_1_1,1...4
Pregunta P8.1.2 Vea la Tarjeta 7. ¿Qué tanta preocupación siente actualmente por gastar más de lo que tenía planeado?,1,C,P8_1_2,p8_1_2,1...4
Pregunta P8.1.3 Vea la Tarjeta 7. ¿Qué tanta preocupación siente actualmente por que las deudas se acumulen?,1,C,P8_1_3,p8_1_3,1...4
Pregunta P8.1.4 Vea la Tarjeta 7. ¿Qué tanta preocupación siente actualmente por que el dinero sea insuficiente para sus actividades de entretenimiento?,1,C,P8_1_4,p8_1_4,1...4
"Pregunta P8.1.5 Vea la Tarjeta 7. ¿Qué tanta preocupación siente actualmente por tener que gastar dinero en imprevistos (enfermedades, accidentes, reparación de vehículo)?",1,C,P8_1_5,p8_1_5,1...4
Pregunta P8.1.6 Vea la Tarjeta 7. ¿Qué tanta preocupación siente actualmente por la dificultad de guardar dinero para metas futuras?,1,C,P8_1_6,p8_1_6,1...4
"Pregunta P8.2.1 Ahora responda sí o no. De octubre 2022 a la fecha, ¿se ha sentido ansiosa(o) por sus finanzas personales?",1,C,P8_2_1,p8_2_1,"1,2"
"Pregunta P8.2.2 Ahora responda sí o no. De octubre 2022 a la fecha, ¿se ha sentido triste por su situación financiera?",1,C,P8_2_2,p8_2_2,"1,2"
"Pregunta P8.2.3 Ahora responda sí o no. De octubre 2022 a la fecha, ¿se ha sentido irritada(o) debido a su situación financiera?",1,C,P8_2_3,p8_2_3,"1,2"
"Pregunta P8.2.4 Ahora responda sí o no. De octubre 2022 a la fecha, ¿se ha sentido frustrada(o) por sus finanzas personales?",1,C,P8_2_4,p8_2_4,"1,2"
"Pregunta P8.3.01 De octubre 2022 a la fecha, ¿ha sufrido a causa de su situación financiera dolores de cabeza?",1,C,P8_3_01,p8_3_01,"1,2"
"Pregunta P8.3.02 De octubre 2022 a la fecha, ¿ha sufrido a causa de su situación financiera gastritis o colitis?",1,C,P8_3_02,p8_3_02,"1,2"
"Pregunta P8.3.03 De octubre 2022 a la fecha, ¿ha sufrido a causa de su situación financiera cambios en la presión arterial?",1,C,P8_3_03,p8_3_03,"1,2"
"Pregunta P8.3.04 De octubre 2022 a la fecha, ¿ha sufrido a causa de su situación financiera falta de sueño?",1,C,P8_3_04,p8_3_04,"1,2"
"Pregunta P8.3.05 De octubre 2022 a la fecha, ¿ha sufrido a causa de su situación financiera problemas alimenticios?",1,C,P8_3_05,p8_3_05,"1,2"
"Pregunta P8.3.06 De octubre 2022 a la fecha, ¿ha sufrido a causa de su situación financiera inicio o incremento en el consumo de alcohol o tabaco?",1,C,P8_3_06,p8_3_06,"1,2"
"Pregunta P8.3.07 De octubre 2022 a la fecha, ¿ha sufrido a causa de su situación financiera aislamiento o problemas con amistades?",1,C,P8_3_07,p8_3_07,"1,2"
"Pregunta P8.3.08 De octubre 2022 a la fecha, ¿ha sufrido a causa de su situación financiera aislamiento o problemas con familiares?",1,C,P8_3_08,p8_3_08,"1,2"
"Pregunta P8.3.09 De octubre 2022 a la fecha, ¿ha sufrido a causa de su situación financiera problemas en su trabajo?",1,C,P8_3_09,p8_3_09,"1,2"
"Pregunta P8.3.10 De octubre 2022 a la fecha, ¿ha sufrido a causa de su situación financiera otro problema?",1,C,P8_3_10,p8_3_10,"1,2"
"Pregunta P8.4 Vea la Tarjeta 3. En una escala del 0 al 10, donde 0 significa Nada de preocupación y 10 Preocupación excesiva, ¿cuál es su nivel actual de preocupación por su situación financiera?",2,C,P8_4,,00...10
Pregunta P8.5.1 ¿Cuáles son actualmente sus principales preocupaciones respecto a su situación financiera? - DEUDAS CON FAMILIARES O AMIGOS,1,C,P8_5_1,p8_5_1,"0,1"
"Pregunta P8.5.2 ¿Cuáles son actualmente sus principales preocupaciones respecto a su situación financiera? - DEUDAS CON BANCOS O INSTITUCIONES FINANCIERAS (TARJETAS DE CRÉDITO, CAJAS DE AHORRO)",1,C,P8_5_2,p8_5_2,"0,1"
"Pregunta P8.5.3 ¿Cuáles son actualmente sus principales preocupaciones respecto a su situación financiera? - GASTOS INESPERADOS (POR ENFERMEDAD, ACCIDENTE, REPARACIONES)",1,C,P8_5_3,p8_5_3,"0,1"
Pregunta P8.5.4 ¿Cuáles son actualmente sus principales preocupaciones respecto a su situación financiera? - GASTOS ESCOLARES,1,C,P8_5_4,p8_5_4,"0,1"
Pregunta P8.5.5 ¿Cuáles son actualmente sus principales preocupaciones respecto a su situación financiera? - PAGOS DE ALIMENTACIÓN,1,C,P8_5_5,p8_5_5,"0,1"
"Pregunta P8.5.6 ¿Cuáles son actualmente sus principales preocupaciones respecto a su situación financiera? - GASTOS PARA ENTRETENIMIENTO COMO CINE, COMER FUERA, ETCÉTERA",1,C,P8_5_6,p8_5_6,"0,1"
Pregunta P8.5.7 ¿Cuáles son actualmente sus principales preocupaciones respecto a su situación financiera? - OTRA PREOCUPACIÓN,1,C,P8_5_7,p8_5_7,"0,1"
Pregunta P8.5.8 ¿Cuáles son actualmente sus principales preocupaciones respecto a su situación financiera? - NO TIENE PREOCUPACIÓN,1,C,P8_5_8,p8_5_8,"0,1"
"Pregunta P8.5.9 ¿Cuáles son actualmente sus principales preocupaciones respecto a su situación financiera? - EMPLEO, NEGOCIO E INGRESOS INSUFICIENTES",1,C,P8_5_9,p8_5_9,"0,1"
Pregunta P8.6.01 Vea la Tarjeta 8. ¿Cuáles acciones podría realizar para atender sus preocupaciones financieras? - PEDIR UN PRÉSTAMO A FAMILIARES O AMISTADES,1,C,P8_6_01,p8_6_01,"0,1"
Pregunta P8.6.02 Vea la Tarjeta 8. ¿Cuáles acciones podría realizar para atender sus preocupaciones financieras? - SOLICITAR UN CRÉDITO EN UN BANCO O INSTITUCIÓN FINANCIERA,1,C,P8_6_02,p8_6_02,"0,1"
Pregunta P8.6.03 Vea la Tarjeta 8. ¿Cuáles acciones podría realizar para atender sus preocupaciones financieras? - RETRASAR O DEJAR PENDIENTE ALGÚN PAGO,1,C,P8_6_03,p8_6_03,"0,1"
Pregunta P8.6.04 Vea la Tarjeta 8. ¿Cuáles acciones podría realizar para atender sus preocupaciones financieras? - SOLICITAR APOYOS DE GOBIERNO,1,C,P8_6_04,p8_6_04,"0,1"
Pregunta P8.6.05 Vea la Tarjeta 8. ¿Cuáles acciones podría realizar para atender sus preocupaciones financieras? - SOLICITAR RENEGOCIACIÓN O DESCUENTO PARA PAGO O DEUDA,1,C,P8_6_05,p8_6_05,"0,1"
Pregunta P8.6.06 Vea la Tarjeta 8. ¿Cuáles acciones podría realizar para atender sus preocupaciones financieras? - VENDER O EMPEÑAR ALGÚN BIEN,1,C,P8_6_06,p8_6_06,"0,1"
Pregunta P8.6.07 Vea la Tarjeta 8. ¿Cuáles acciones podría realizar para atender sus preocupaciones financieras? - USAR SUS AHORROS,1,C,P8_6_07,p8_6_07,"0,1"
Pregunta P8.6.08 Vea la Tarjeta 8. ¿Cuáles acciones podría realizar para atender sus preocupaciones financieras? - TRABAJAR HORAS EXTRAS O CONSEGUIR TRABAJO ADICIONAL,1,C,P8_6_08,p8_6_08,"0,1"
Pregunta P8.6.09 Vea la Tarjeta 8. ¿Cuáles acciones podría realizar para atender sus preocupaciones financieras? - CAMBIAR DE TRABAJO O EMPRENDER UN NEGOCIO,1,C,P8_6_09,p8_6_09,"0,1"
Pregunta P8.6.10 Vea la Tarjeta 8. ¿Cuáles acciones podría realizar para atender sus preocupaciones financieras? - REDUCIR SUS GASTOS,1,C,P8_6_10,p8_6_10,"0,1"
Pregunta P8.6.11 Vea la Tarjeta 8. ¿Cuáles acciones podría realizar para atender sus preocupaciones financieras? - OTRA ACCIÓN,1,C,P8_6_11,p8_6_11,"0,1"
"Pregunta P9.1 Actualmente, ¿cuál considera que es su objetivo o meta financiera más importante a cumplir?",2,C,P9_1,p9_1,01...10
Pregunta P9.2 ¿Cuál considera que es la mayor dificultad para cumplirla?,1,C,P9_2,p9_2,1...7
"Pregunta P9.3.1 En su vejez, ¿piensa cubrir sus gastos con lo que reciba de los apoyos del gobierno para personas adultas mayores?",1,C,P9_3_1,p9_3_1,"1,2"
"Pregunta P9.3.2 En su vejez, ¿piensa cubrir sus gastos con lo que reciba de su pensión, jubilación, AFORE o plan privado de retiro?",1,C,P9_3_2,p9_3_2,"1,2"
"Pregunta P9.3.3 En su vejez, ¿piensa cubrir sus gastos con lo que reciba de vender o rentar bienes o propiedades (vehículos, casas, ganado, etcétera)?",1,C,P9_3_3,p9_3_3,"1,2"
"Pregunta P9.3.4 En su vejez, ¿piensa cubrir sus gastos con lo que reciba de dinero que le dé su esposa(o) o pareja, hijas, hijos u otros familiares?",1,C,P9_3_4,p9_3_4,"1,2"
"Pregunta P9.3.5 En su vejez, ¿piensa cubrir sus gastos con lo que reciba de seguir trabajando?",1,C,P9_3_5,p9_3_5,"1,2"
"Pregunta P9.3.6 En su vejez, ¿piensa cubrir sus gastos con lo que reciba de ingresos por inversiones en bancos o instituciones financieras?",1,C,P9_3_6,p9_3_6,"1,2"
"Pregunta P9.3.7 En su vejez, ¿piensa cubrir sus gastos con lo que reciba de otra fuente?",1,C,P9_3_7,p9_3_7,"1,2"
Pregunta P10.1 ¿Ha oído hablar de la Comisión Nacional para la Protección y Defensa de los Usuarios de Servicios Financieros (CONDUSEF)?,1,C,P10_1,p10_1,"1,2"
Pregunta P10.2 ¿Cuál es la actividad principal de la CONDUSEF?,1,C,P10_2,p10_2,"1,2,9"
Pregunta P10.3 ¿Usted sabe que la CONDUSEF imparte cursos y diplomados gratuitos sobre educación financiera?,1,C,P10_3,p10_3,"1,2"
"Pregunta P10.4.1 A usted, ¿le sería de utilidad algún curso o taller sobre el registro de sus ingresos y gastos?",1,C,P10_4_1,p10_4_1,"1,2"
"Pregunta P10.4.2 A usted, ¿le sería de utilidad algún curso o taller sobre manejo responsable de créditos?",1,C,P10_4_2,p10_4_2,"1,2"
"Pregunta P10.4.3 A usted, ¿le sería de utilidad algún curso o taller sobre gastos “hormiga” (gastos pequeños que pueden afectar su economía)?",1,C,P10_4_3,p10_4_3,"1,2"
"Pregunta P10.4.4 A usted, ¿le sería de utilidad algún curso o taller sobre importancia del ahorro?",1,C,P10_4_4,p10_4_4,"1,2"
"Pregunta P10.4.5 A usted, ¿le sería de utilidad algún curso o taller sobre finanzas personales?",1,C,P10_4_5,p10_4_5,"1,2"
"Pregunta P10.4.6 A usted, ¿le sería de utilidad algún curso o taller sobre otro tema financiero?",1,C,P10_4_6,p10_4_6,"1,2"
Número de unidad primaria de muestreo,7,C,UPM,,0100016...3260800
Número de vivienda seleccionada,2,C,VIV_SEL,,01...24
Número de hogar en la vivienda,1,C,HOGAR,,1...5
Número de renglón,2,C,N_REN,,01...14
Entidad,2,C,ENT,ent,01...32
Municipio,3,C,MUN,,001...565
Tamaño de localidad,1,C,TLOC,tloc,1...4
Región,1,C,REGION,region,1...4
Pregunta P3.4 (NOMBRE) es hombre (NOMBRE) es mujer,1,C,SEXO,sexo,"1,2"
Nivel de bienestar,1,C,NIV_BIENES,niv_bienes,1...4
Ingreso mensual por trabajo,6,C,INGRESO_M,,000000...421400
Niveles de estrés financiero,1,C,NIV_ESTRES,niv_estres,1...3
Salario mínimo por entidad,1,C,SALARIO_ENT,salario_ent,"1,2"
Ingreso mensual resto del país,1,C,SAL_MIN_RP,sal_min_rp,1...5
Ingreso mensual zona fronteriza,1,C,SAL_MIN_ZF,sal_min_zf,1...5
Confianza financiera,1,C,CONF_FINAN,conf_finan,"1,2"
Grado de control,1,C,GRA_CONTROL,gra_control,"1,2"
Orientación hacia el futuro,1,C,ORIEN_FUT,orien_fut,"1,2"
Impulsividad,1,C,IMPULSIVID,impulsivid,"1,2"
Orientación hacia la acción,1,C,ORIEN_ACCI,orien_acci,"1,2"
Optimismo,1,C,OPTIMISMO,optimismo,"1,2"
Gastos versus Ahorro,1,C,GTOS_AHORR,gtos_ahorr,"1,2"
Dependientes económicos,2,C,DEPEN_SUM,,00...15
Condición de dependientes económico,1,C,DEP_ECO,dep_eco,1...3
Factor de expansión,6,C,FAC_ELE,,126...364007
Unidad primaria de muestreo de diseño,5,C,UPM_DIS,,00001...02918
Estrato de diseño,4,C,EST_DIS,,0001...0277
